所属模块,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段
/班务管理(#14),验证方向选择‘全部’，是否新增成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【班级管理】子模块
2.点击【新增】按钮
3.方向选择‘全部’，其他参数正确，点击【保存】",1.提示‘请选择方向’信息,3,功能测试,系统测试阶段
/班务管理(#14),验证班主任选择‘全部’，是否新增成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【班级管理】子模块
2.点击【新增】按钮
3.班主任选择‘全部’，其他参数正确，点击【保存】",1.提示‘请选择班主任’信息,3,功能测试,系统测试阶段
/班务管理(#14),验证【新增】按钮是否可用,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.点击【新增】按钮
",1.弹出‘请假记录录入’窗口,3,功能测试,系统测试阶段
/班务管理(#14),验证所有参数正确，是否新增成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.点击【新增】按钮
3.所有参数填写正确，点击【保存】
",1.新增成功,3,功能测试,系统测试阶段
/班务管理(#14),验证不输入开始时间，新增是否成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.点击【新增】按钮
3.开始时间为空，其他参数填写正确，点击【保存】
",1.新增失败，提示‘开始时间不能为空’信息,3,功能测试,系统测试阶段
/班务管理(#14),验证不输入结束时间，新增是否成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.点击【新增】按钮
3.结束时间为空，其他参数填写正确，点击【保存】
",1.新增失败，提示‘结束时间不能为空’,3,功能测试,系统测试阶段
/班务管理(#14),验证开始时间坚迟于结束时时，是否新增成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.点击【新增】按钮
3.结束时间为空，其他参数填写正确，点击【保存】
",1.新增失败，提示‘开始时间不能迟于结束时间’,3,功能测试,系统测试阶段
/班务管理(#14),验证请假类型为全部是，是否新增成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.点击【新增】按钮
3.请假类型选择全部，其他参数填写正确，点击【保存】
",1.新增失败，提示‘请选择请假类型’信息,3,功能测试,系统测试阶段
/班务管理(#14),验证请假天数为空时，是否新增成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.点击【新增】按钮
3.不输入请假天数，其他参数填写正确，点击【保存】
",1.新增成功,3,功能测试,系统测试阶段
/班务管理(#14),验证请假天数输入特殊字符时，是否新增成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.点击【新增】按钮
3.请假天数输入‘#@’，其他参数填写正确，点击【保存】
",1.新增失败，提示‘请假天数格式不正确’信息,3,功能测试,系统测试阶段
/班务管理(#14),验证请假天数输入含空格时，是否新增成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.点击【新增】按钮
3.请假天数输入‘1 ’，其他参数填写正确，点击【保存】
",1.新增失败，提示‘请假天数格式不正确’信息,3,功能测试,系统测试阶段
/班务管理(#14),验证输入不存在的学生姓名时，是否新增成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.点击【新增】按钮
3.姓名输入不存在的姓名‘王四’，其他参数填写正确，点击【保存】
",1.新增失败，提示‘请输入存在的学生姓名’信息,3,功能测试,系统测试阶段
/班务管理(#14),验证是否扣分为全部时，是否新增成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.点击【新增】按钮
3.是否扣分选择‘全部’，其他参数填写正确，点击【保存】
",1.新增失败，提示‘请选择是否扣分’信息,3,功能测试,系统测试阶段
/班务管理(#14),验证请假原因为空时，是否新增成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.点击【新增】按钮
3.不输入请假原因，其他参数填写正确，点击【保存】
",1.新增成功,3,功能测试,系统测试阶段
/班务管理(#14),验证请假原因输入特殊字符时，是否新增成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.点击【新增】按钮
3.请假天数输入‘#@’，其他参数填写正确，点击【保存】
",1.新增失败，提示‘请假原因格式不正确’信息,3,功能测试,系统测试阶段
/班务管理(#14),验证请假原因输入含空格时，是否新增成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.点击【新增】按钮
3.请假天数输入‘家中 有事’，其他参数填写正确，点击【保存】
",1.新增失败，提示‘请假原因格式不正确’信息,3,功能测试,系统测试阶段
/班务管理(#14),验证处理意见为空时，是否新增成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.点击【新增】按钮
3.不输入处理意见，其他参数填写正确，点击【保存】
",1.新增成功,3,功能测试,系统测试阶段
/班务管理(#14),验证处理意见输入特殊字符时，是否新增成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.点击【新增】按钮
3.处理意见输入‘#@’，其他参数填写正确，点击【保存】
",1.新增失败，提示‘处理意见格式不正确’信息,3,功能测试,系统测试阶段
/班务管理(#14),验证处理意见输入含空格时，是否新增成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.点击【新增】按钮
3.处理意见输入‘继续 跟班’，其他参数填写正确，点击【保存】
",1.新增失败，提示‘处理意见格式不正确’信息,3,功能测试,系统测试阶段
/班务管理(#14),验证默认条件下的查询，是否显示正确的信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.所有参数默认，点击【查询】
",1.列表显示正确的信息,3,功能测试,系统测试阶段
/班务管理(#14),验证只选择区域的查询，是否显示正确信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.区域选择‘成都’，其他参数默认，点击【查询】
",1.列表只显示成都学生的请假信息,3,功能测试,系统测试阶段
/班务管理(#14),验证只选择请假状态的查询，是否显示正确的信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.请假状态选择‘请假中’，其他参数默认，点击【查询】
",1.列表只显示请假中的学生的请假信息,3,功能测试,系统测试阶段
/班务管理(#14),验证姓名输入框输入特殊字符的查询，是否显示正确的信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.姓名输入框输入‘李娟’，其他参数默认，点击【查询】
",1.列表显示李娟的请假信息,3,功能测试,系统测试阶段
/班务管理(#14),验证姓名输入框输入特殊字符的查询，是否显示正确的信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.姓名输入框输入‘李@’，其他参数默认，点击【查询】
",1.提示‘无符合条件的记录’信息,3,功能测试,系统测试阶段
/班务管理(#14),验证姓名输入框输入含空格的查询，是否显示正确信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.姓名输入框输入‘李 娟’，其他参数默认，点击【查询】
",1.提示‘无符合条件的记录’信息,3,功能测试,系统测试阶段
/班务管理(#14),验证【假条】按钮是否可用,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.请假状态选择‘请假中’，其他参数默认，点击【查询】
3.点击任意一条信息后的【假条】
",1.弹出‘假条查看和上传’,3,功能测试,系统测试阶段
/班务管理(#14),验证选择正确格式的假条问价，是否上传成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.请假状态选择‘请假中’，其他参数默认，点击【查询】
3.点击任意一条信息后的【假条】
4.选择png，jpg正确格式的假条文件，点击【上传】
",1.上传成功,3,功能测试,系统测试阶段
/班务管理(#14),验证选择不正确格式的假条问价，是否上传成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.请假状态选择‘请假中’，其他参数默认，点击【查询】
3.点击任意一条信息后的【假条】
4.选择xls格式的假条文件，点击【上传】
",1.上传失败,3,功能测试,系统测试阶段
/班务管理(#14),验证【销假】按钮是否可用,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.请假状态选择‘请假中’，其他参数默认，点击【查询】
3.点击任意一条信息后的【销假】

",1.弹出‘确认销假’的信息,3,功能测试,系统测试阶段
/班务管理(#14),验证确认销假是否改变列表状态,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.请假状态选择‘请假中’，其他参数默认，点击【查询】
3.点击任意一条信息后的【销假】
4.点击弹出框的‘确定’

",1.列表状态变为‘已销假’,3,功能测试,系统测试阶段
/班务管理(#14),验证【修改】按钮是否可用,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.请假状态选择‘请假中’，其他参数默认，点击【查询】
3.点击任意一条信息后的【修改】
",1.弹出‘请假记录修改’窗口,3,功能测试,系统测试阶段
/班务管理(#14),验证所有参数正确，是否修改成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.请假状态选择‘请假中’，其他参数默认，点击【查询】
3.点击任意一条信息后的【修改】
4.所有参数填写正确，点击【保存】
",1.修改成功,3,功能测试,系统测试阶段
/班务管理(#14),验证不输入开始时间，修改是否成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.请假状态选择‘请假中’，其他参数默认，点击【查询】
3.点击任意一条信息后的【修改】
4.开始时间为空，其他参数填写正确，点击【保存】
",1.修改失败，提示‘开始时间不能为空’信息,3,功能测试,系统测试阶段
/班务管理(#14),验证不输入结束时间，修改是否成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.请假状态选择‘请假中’，其他参数默认，点击【查询】
3.点击任意一条信息后的【修改】
4.结束时间为空，其他参数填写正确，点击【保存】
",1.修改失败，提示‘结束时间不能为空’,3,功能测试,系统测试阶段
/班务管理(#14),验证开始时间坚迟于结束时时，是否修改成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.请假状态选择‘请假中’，其他参数默认，点击【查询】
4.点击任意一条信息后的【修改】
3.结束时间为空，其他参数填写正确，点击【保存】
",1.修改失败，提示‘开始时间不能迟于结束时间’,3,功能测试,系统测试阶段
/班务管理(#14),验证请假类型为全部是，是否修改成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.请假状态选择‘请假中’，其他参数默认，点击【查询】
3.点击任意一条信息后的【修改】
4.请假类型选择全部，其他参数填写正确，点击【保存】
",1.修改失败，提示‘请选择请假类型’信息,3,功能测试,系统测试阶段
/班务管理(#14),验证请假天数为空时，是否修改成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.请假状态选择‘请假中’，其他参数默认，点击【查询】
3.点击任意一条信息后的【修改】
4.不输入请假天数，其他参数填写正确，点击【保存】
",1.修改成功,3,功能测试,系统测试阶段
/班务管理(#14),验证请假天数输入特殊字符时，是否修改成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.请假状态选择‘请假中’，其他参数默认，点击【查询】
3.点击任意一条信息后的【修改】
4.请假天数输入‘#@’，其他参数填写正确，点击【保存】
",1.修改失败，提示‘请假天数格式不正确’信息,3,功能测试,系统测试阶段
/班务管理(#14),验证请假天数输入含空格时，是否修改成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.请假状态选择‘请假中’，其他参数默认，点击【查询】
3.点击任意一条信息后的【修改】
4.请假天数输入‘1 ’，其他参数填写正确，点击【保存】
",1.修改失败，提示‘请假天数格式不正确’信息,3,功能测试,系统测试阶段
/班务管理(#14),验证输入不存在的学生姓名时，是否修改成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.请假状态选择‘请假中’，其他参数默认，点击【查询】
3.点击任意一条信息后的【修改】
4.姓名输入不存在的姓名‘王四’，其他参数填写正确，点击【保存】
",1.修改失败，提示‘请输入存在的学生姓名’信息,3,功能测试,系统测试阶段
/班务管理(#14),验证是否扣分为全部时，是否修改成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.请假状态选择‘请假中’，其他参数默认，点击【查询】
3.点击任意一条信息后的【修改】
4.是否扣分选择‘全部’，其他参数填写正确，点击【保存】
",1.修改失败，提示‘请选择是否扣分’信息,3,功能测试,系统测试阶段
/班务管理(#14),验证请假原因为空时，是否修改成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.请假状态选择‘请假中’，其他参数默认，点击【查询】
3.点击任意一条信息后的【修改】
4.不输入请假原因，其他参数填写正确，点击【保存】
",1.修改成功,3,功能测试,系统测试阶段
/班务管理(#14),验证请假原因输入特殊字符时，是否修改成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.请假状态选择‘请假中’，其他参数默认，点击【查询】
3.点击任意一条信息后的【修改】
4.请假天数输入‘#@’，其他参数填写正确，点击【保存】
",1.修改失败，提示‘请假原因格式不正确’信息,3,功能测试,系统测试阶段
/班务管理(#14),验证请假原因输入含空格时，是否修改成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.请假状态选择‘请假中’，其他参数默认，点击【查询】
3.点击任意一条信息后的【修改】
4.请假天数输入‘家中 有事’，其他参数填写正确，点击【保存】
",1.修改失败，提示‘请假原因格式不正确’信息,3,功能测试,系统测试阶段
/班务管理(#14),验证处理意见为空时，是否修改成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.请假状态选择‘请假中’，其他参数默认，点击【查询】
3.点击任意一条信息后的【修改】
4.不输入处理意见，其他参数填写正确，点击【保存】
",1.修改成功,3,功能测试,系统测试阶段
/班务管理(#14),验证处理意见输入特殊字符时，是否修改成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.请假状态选择‘请假中’，其他参数默认，点击【查询】
3.点击任意一条信息后的【修改】
4.处理意见输入‘#@’，其他参数填写正确，点击【保存】
",1.修改失败，提示‘处理意见格式不正确’信息,3,功能测试,系统测试阶段
/班务管理(#14),验证处理意见输入含空格时，是否修改成功,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员请假】子模块
2.请假状态选择‘请假中’，其他参数默认，点击【查询】
3.点击任意一条信息后的【修改】
4.处理意见输入‘继续 跟班’，其他参数填写正确，点击【保存】
",1.修改失败，提示‘处理意见格式不正确’信息,3,功能测试,系统测试阶段
/班务管理(#14),验证默认条件下的查询，是否显示正确的信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员转班】子模块
2.所有参数默认，点击【查询】
",1.列表显示正确的信息,3,功能测试,系统测试阶段
/班务管理(#14),验证只选择区域的查询，是否显示正确信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员转班】子模块
2.区域选择‘成都’，其他参数默认，点击【查询】
",1.列表只显示成都学生的请假信息,3,功能测试,系统测试阶段
/班务管理(#14),验证只选择状态的查询，是否显示正确的信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员转班】子模块
2.状态选择‘未开班’，其他参数默认，点击【查询】
",1.列表只显示未开班的学生的信息,3,功能测试,系统测试阶段
/班务管理(#14),验证只选择班级的查询，是否显示正确的信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员转班】子模块
2.班级选择‘WNCDC005’，其他参数默认，点击【查询】
",1.列表只显示该班的学生的信息,3,功能测试,系统测试阶段
/班务管理(#14),验证姓名输入框输入特殊字符的查询，是否显示正确的信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员转班】子模块
2.姓名输入框输入‘李娟’，其他参数默认，点击【查询】
",1.列表显示李娟的信息,3,功能测试,系统测试阶段
/班务管理(#14),验证姓名输入框输入特殊字符的查询，是否显示正确的信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员转班】子模块
2.姓名输入框输入‘李@’，其他参数默认，点击【查询】
",1.提示‘无符合条件的记录’信息,3,功能测试,系统测试阶段
/班务管理(#14),验证姓名输入框输入含空格的查询，是否显示正确信息,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员转班】子模块
2.姓名输入框输入‘李 娟’，其他参数默认，点击【查询】
",1.提示‘无符合条件的记录’信息,3,功能测试,系统测试阶段
/班务管理(#14),验证【转班】按钮是否可用,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员转班】子模块
2.所有参数默认，点击【查询】
3.点击任一信息后的【转班】按钮
",1.弹出该学员的专班确认窗口,3,功能测试,系统测试阶段
/班务管理(#14),验证所有参数选择正确，是否成功转班,"1.系统、浏览器运行正常
2.使用管理员账号成功登录woniuboss4.0
3.点击进入【班务管理】模块
","1.点击进入【学员转班】子模块
2.所有参数默认，点击【查询】
3.点击任一信息后的【转班】按钮
4.所有参数选择正确，点击【确认】
5.点击弹出的确认转班信息的【确定】按钮
",1.转班成功,3,功能测试,系统测试阶段
